NUM,CD
N,NN
N-P,NNS
NPR,NNP
PRO,PRP
PRO$,PRO$
P,IN
VB,VB
VB-P,VBP
VB-D,VBZ
VB-D,VBD
VB-G,VBG
-,VBN
D,DT
D-UM,DT
ADJ,JJ
ADJ-R,JJR
ADJ-S,JJS
ADV,RB
ADV-R,RBR
ADV-S,RBS
CONJ,CC
CONJS,IN
-,WDT
-,WP
-,WRB
-,EX
-,JJ
-,LS
-,MD
-,PDT
-,POS
-,RP
-,TO
INTJ,UH
