NUM,Z
N,NC
N-P,NC
NPR,NP
PRO,PP
PRO$,DP
-,P0
D,PD
-,PI
-,PI
-,PR
P,SP
VB,V
-,VM
-,VA
-,VS
D,DA
D-UM,DI
-,DP
DEM,DD
-,DN
ADJ,A
-,AO
-,AQ
CONJ,CC
CONJS,CS
INTJ,I
-,W
