v.
sr.
sr.ª
sr.a
sra.
v.s.ª
v.s.a
v.ex.ª
v.ex.a
ex.ª
ex.a
v.em.ª
v.em.a
em.ª
em.a
v.a.
a.
v.s.
v.rev.mª
v.rev.ma
rev.mª
rev.ma
v.p.
p.
v.mag.ª
v.mag.a
mag.ª
mag.a
v.m.
m.
vv.
srs.
srª.s
sra.s
v. sª.s
v. ex.ªs
v. em.ªs
v v. a a.
v. rev.mªs
vv. pp.
v. mag.ªs
v v. m m.
